Frequency (Hz)	Level (dB)
43.066406	-13.003719
86.132812	-16.703754
129.199219	-21.439980
172.265625	-24.098270
215.332031	-24.451019
258.398438	-21.426796
301.464844	-22.104357
344.531250	-24.222126
387.597656	-18.604582
430.664062	-13.673408
473.730469	-12.191259
516.796875	-14.255391
559.863281	-11.842762
602.929688	-14.198129
645.996094	-15.683195
689.062500	-16.069281
732.128906	-16.635109
775.195312	-22.571064
818.261719	-25.359613
861.328125	-26.451019
904.394531	-23.158525
947.460938	-22.501240
990.527344	-29.578341
1033.593750	-35.339184
1076.660156	-25.768232
1119.726562	-22.611580
1162.792969	-30.027719
1205.859375	-32.532070
1248.925781	-29.015850
1291.992188	-33.357513
1335.058594	-38.640717
1378.125000	-35.756199
1421.191406	-36.197510
1464.257812	-38.297211
1507.324219	-38.867229
1550.390625	-41.719910
1593.457031	-42.198757
1636.523438	-34.763569
1679.589844	-32.627460
1722.656250	-39.453804
1765.722656	-41.774773
1808.789062	-39.473118
1851.855469	-36.883404
1894.921875	-38.040993
1937.988281	-37.715088
1981.054688	-39.478786
2024.121094	-41.257507
2067.187500	-38.156139
2110.253906	-37.839836
2153.320312	-41.830017
2196.386719	-36.386837
2239.453125	-35.736217
2282.519531	-40.739578
2325.585938	-40.440338
2368.652344	-43.816257
2411.718750	-46.760906
2454.785156	-42.237133
2497.851562	-40.075218
2540.917969	-43.780426
2583.984375	-44.949802
2627.050781	-46.008045
2670.117188	-48.450901
2713.183594	-46.607121
2756.250000	-41.336388
2799.316406	-39.313644
2842.382812	-43.879654
2885.449219	-43.541828
2928.515625	-41.143612
2971.582031	-41.946960
3014.648438	-44.289463
3057.714844	-46.337811
3100.781250	-46.415310
3143.847656	-46.851444
3186.914062	-48.718742
3229.980469	-45.485989
3273.046875	-43.113789
3316.113281	-42.798836
3359.179688	-43.237846
3402.246094	-45.634510
3445.312500	-46.236710
3488.378906	-45.684658
3531.445312	-47.275219
3574.511719	-47.740086
3617.578125	-47.768581
3660.644531	-47.381054
3703.710938	-45.377728
3746.777344	-44.417953
3789.843750	-46.523174
3832.910156	-46.922176
3875.976562	-44.435139
3919.042969	-44.814949
3962.109375	-48.613617
4005.175781	-49.038879
4048.242188	-49.443314
4091.308594	-49.017818
4134.375000	-47.920525
4177.441406	-47.319363
4220.507812	-47.368431
4263.574219	-49.053772
4306.640625	-49.677193
4349.707031	-50.073330
4392.773438	-49.647575
4435.839844	-48.612942
4478.906250	-48.329788
4521.972656	-48.530502
4565.039062	-49.232216
4608.105469	-48.606007
4651.171875	-49.376587
4694.238281	-50.537792
4737.304688	-50.843487
